step,clean_raw_pct,clean_ma5_pct,clean_ma10_pct,clean_ma20_pct,old_raw_pct,old_ma5_pct,old_ma10_pct,old_ma20_pct,pure02_raw_pct,pure02_ma5_pct,pure02_ma10_pct,pure02_ma20_pct,pure03_raw_pct,pure03_ma5_pct,pure03_ma10_pct,pure03_ma20_pct,pure04_raw_pct,pure04_ma5_pct,pure04_ma10_pct,pure04_ma20_pct,pure05_raw_pct,pure05_ma5_pct,pure05_ma10_pct,pure05_ma20_pct
90,0.0,12.5,13.75,14.375,0.0,10.0,10.0,12.5,25.0,10.0,12.5,13.75,0.0,15.0,16.25,13.75,37.5,22.5,18.75,15.625,12.5,15.0,16.25,15.0
91,12.5,5.0,12.5,13.75,0.0,5.0,7.5,11.875,0.0,10.0,8.75,11.875,12.5,10.0,13.75,14.375,25.0,20.0,18.75,16.875,0.0,10.0,13.75,14.375
92,25.0,10.0,12.5,13.125,25.0,5.0,8.75,12.5,12.5,10.0,8.75,11.875,0.0,5.0,10.0,13.75,12.5,15.0,18.75,16.25,25.0,12.5,15.0,15.625
93,0.0,10.0,11.25,12.5,0.0,5.0,8.75,11.875,12.5,12.5,8.75,10.625,12.5,7.5,11.25,13.125,0.0,15.0,16.25,14.375,12.5,15.0,15.0,15.0
94,12.5,10.0,12.5,11.25,12.5,7.5,10.0,12.5,37.5,17.5,11.25,11.875,12.5,7.5,12.5,13.125,25.0,20.0,18.75,15.0,12.5,12.5,13.75,15.0
95,0.0,10.0,11.25,10.625,12.5,10.0,10.0,10.625,0.0,12.5,11.25,11.25,12.5,10.0,12.5,12.5,0.0,12.5,17.5,15.0,12.5,12.5,13.75,15.0
96,25.0,12.5,8.75,11.875,0.0,10.0,7.5,10.625,12.5,15.0,12.5,11.25,0.0,7.5,8.75,11.875,25.0,12.5,16.25,15.625,25.0,17.5,13.75,15.0
97,0.0,7.5,8.75,11.875,0.0,5.0,5.0,10.625,12.5,15.0,12.5,11.875,12.5,10.0,7.5,12.5,0.0,10.0,12.5,15.625,0.0,12.5,12.5,15.0
98,0.0,7.5,8.75,11.25,12.5,7.5,6.25,10.625,25.0,17.5,15.0,13.125,25.0,12.5,10.0,13.125,0.0,10.0,12.5,15.625,37.5,17.5,16.25,16.25
99,0.0,5.0,7.5,10.625,0.0,5.0,6.25,8.75,25.0,15.0,16.25,13.75,25.0,15.0,11.25,14.375,37.5,12.5,16.25,15.625,0.0,15.0,13.75,15.0
100,0.0,5.0,7.5,10.625,12.5,5.0,7.5,8.75,12.5,17.5,15.0,13.75,0.0,12.5,11.25,13.75,0.0,12.5,12.5,15.625,0.0,12.5,12.5,14.375
101,12.5,2.5,7.5,10.0,12.5,7.5,8.75,8.125,25.0,20.0,17.5,13.125,0.0,12.5,10.0,11.875,25.0,12.5,12.5,15.625,37.5,15.0,16.25,15.0
102,37.5,10.0,8.75,10.625,12.5,10.0,7.5,8.125,0.0,17.5,16.25,12.5,12.5,12.5,11.25,10.625,12.5,15.0,12.5,15.625,12.5,17.5,15.0,15.0
103,25.0,15.0,11.25,11.25,0.0,7.5,7.5,8.125,12.5,15.0,16.25,12.5,25.0,12.5,12.5,11.875,12.5,17.5,13.75,15.0,0.0,10.0,13.75,14.375
104,12.5,17.5,11.25,11.875,25.0,12.5,8.75,9.375,25.0,15.0,15.0,13.125,25.0,12.5,13.75,13.125,12.5,12.5,12.5,15.625,12.5,12.5,13.75,13.75
105,25.0,22.5,13.75,12.5,37.5,17.5,11.25,10.625,12.5,15.0,16.25,13.75,12.5,15.0,13.75,13.125,12.5,15.0,13.75,15.625,0.0,12.5,12.5,13.125
106,25.0,25.0,13.75,11.25,12.5,17.5,12.5,10.0,0.0,10.0,15.0,13.75,0.0,15.0,13.75,11.25,0.0,10.0,11.25,13.75,0.0,5.0,10.0,11.875
