step,control_raw_pct,control_ma5_pct,control_ma10_pct,method_raw_pct,method_ma5_pct,method_ma10_pct
460.0,100.0,90.0,91.25,87.5,82.5,85.0
461.0,100.0,100.0,91.25,75.0,80.0,85.0
462.0,62.5,92.5,88.75,87.5,80.0,86.25
463.0,87.5,90.0,88.75,100.0,87.5,86.25
464.0,87.5,87.5,88.75,75.0,85.0,83.75
465.0,100.0,87.5,88.75,87.5,85.0,83.75
466.0,100.0,87.5,93.75,100.0,90.0,85.0
467.0,100.0,95.0,93.75,87.5,90.0,85.0
468.0,75.0,92.5,91.25,62.5,82.5,85.0
469.0,100.0,95.0,91.25,100.0,87.5,86.25
470.0,87.5,92.5,90.0,75.0,85.0,85.0
471.0,100.0,92.5,90.0,100.0,85.0,87.5
472.0,75.0,87.5,91.25,100.0,87.5,88.75
473.0,87.5,90.0,91.25,100.0,95.0,88.75
474.0,100.0,90.0,92.5,100.0,95.0,91.25
475.0,87.5,90.0,91.25,87.5,97.5,91.25
476.0,87.5,87.5,90.0,75.0,92.5,88.75
