group_id,policy,checkpoint,task,phase_axis,phase_coarse,phase_task,query_state_phase,metric,episodes,mean,bootstrap_ci_low,bootstrap_ci_high,inference_limit
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,transport-or-rotate,mean_abs_R_std,2,0.6959865527415033,0.6077226376434253,0.7842504678395814,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,transport-or-rotate,mean_abs_I_raw,2,0.3602487783537013,0.240830586714522,0.47966696999288055,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,transport-or-rotate,mean_abs_I_std,2,0.6018408845034655,0.4145766078475802,0.7891051611593509,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,transport-or-rotate,mean_y_ln,2,-8.518551745627686,-8.62877961817788,-8.408323873077492,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,place-release,mean_S_raw,2,0.46111790724952606,0.27270105336167216,0.64953476113738,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,place-release,mean_S_std,2,0.6627716419629089,0.3678517410188968,0.9576915429069212,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,place-release,mean_abs_R_std,2,1.1260932783431392,0.7630529327298199,1.4891336239564588,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,place-release,mean_abs_I_raw,2,0.5566805869885068,0.36634660991953893,0.7470145640574745,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,place-release,mean_abs_I_std,2,0.8540313349137807,0.631793353557576,1.0762693162699852,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,place-release,mean_y_ln,2,-8.185945297623,-8.374362151510853,-7.997528443735146,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,verify,mean_S_raw,1,-0.040719844597272264,,,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,verify,mean_S_std,1,-0.0597531407853997,,,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,verify,mean_abs_R_std,1,0.6693575412203183,,,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,verify,mean_abs_I_raw,1,0.31261480810759334,,,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,verify,mean_abs_I_std,1,0.47237247684191075,,,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,verify,mean_y_ln,1,-8.687783049469799,,,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
