timestamp,driver_alive,host_mem_available_kib,cgroup_memory_current_bytes,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct,gpu6_used_mib,gpu6_util_pct,gpu7_used_mib,gpu7_util_pct
2026-08-22T19:39:45+00:00,1,947019020,1188744257536,71231,98,71299,0,71043,99,70264,1
2026-08-22T19:40:45+00:00,1,935424072,1200622120960,58979,0,59047,0,58791,0,71075,0
2026-08-22T19:41:45+00:00,1,932439344,1203697659904,72607,3,61997,10,65375,13,61629,33
2026-08-22T19:42:45+00:00,1,957229400,1178346180608,56516,0,57192,3,56584,0,56873,0
2026-08-22T19:43:46+00:00,1,950780416,1185145966592,59784,1,60460,3,59650,0,59845,0
2026-08-22T19:44:46+00:00,1,943115636,1193018400768,62850,0,63430,0,62824,0,62613,0
2026-08-22T19:45:46+00:00,1,930034268,1206454206464,70975,94,71298,0,70786,0,65584,60
2026-08-22T19:46:46+00:00,1,929945080,1206498557952,70975,0,71298,0,70786,99,71074,39
2026-08-22T19:47:46+00:00,1,929273580,1207098404864,61534,0,61536,1,61576,0,64490,0
2026-08-22T19:48:47+00:00,1,922532320,1214114263040,64342,0,64410,0,64452,0,63593,0
2026-08-22T19:49:47+00:00,1,904505504,1232789524480,67610,1,67476,0,67518,0,66565,0
2026-08-22T19:50:47+00:00,1,873718612,1264237854720,70676,0,70448,3,70690,0,69333,0
2026-08-22T19:51:47+00:00,1,868729460,1269234388992,70974,92,71042,97,70786,87,70819,0
2026-08-22T19:52:47+00:00,1,868627700,1269284192256,65038,0,68968,0,63364,0,70819,69
2026-08-22T19:53:48+00:00,1,868613392,1269273772032,63748,1,63318,0,63656,0,61515,2
2026-08-22T19:54:48+00:00,1,858007620,1280272273408,66814,0,66490,0,66828,0,64485,0
2026-08-22T19:55:48+00:00,1,848494264,1289977917440,69988,2,69556,3,69894,0,67253,0
2026-08-22T19:56:48+00:00,1,846223736,1292236836864,70974,0,71042,0,70786,0,69927,0
2026-08-22T19:57:48+00:00,1,845451340,1292982190080,67414,0,71042,51,65744,0,70819,0
2026-08-22T19:58:49+00:00,1,845084380,1293262049280,63452,0,62722,1,63560,0,70819,0
2026-08-22T19:59:49+00:00,1,848443596,1289919127552,63190,0,62152,0,63810,0,61213,58
2026-08-22T20:00:49+00:00,1,846541144,1291949056000,66458,0,65324,0,67078,83,63935,0
2026-08-22T20:01:49+00:00,1,846893056,1291545145344,67646,0,67202,0,67970,0,66609,0
