unix_time,cgroup_current_bytes,cgroup_high_bytes,cgroup_max_bytes,event_high,event_max,event_oom,event_oom_kill,anon_bytes,file_bytes,shmem_bytes,inactive_file_bytes,active_file_bytes,slab_reclaimable_bytes,pgscan,pgsteal,refault_file,psi_some_avg10,psi_full_avg10,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,env_rss_kib,actor_rss_kib,rollout_rss_kib,driver_rss_kib,ray_system_rss_kib,matched_total_rss_kib,compute_process_count
1787574537,58165174272,253403070464,257698037760,0,0,0,0,47185698816,10280525824,296697856,1055039488,8932880384,65728248,0,0,7842,0.00,0.00,19519,100,19602,0,26584740,1416,1376,1522356,2941360,31051248,8
1787574539,58164240384,253403070464,257698037760,0,0,0,0,47185657856,10280529920,296697856,1055039488,8932880384,65729888,0,0,7842,0.00,0.00,19519,30,19602,83,26584732,1392,1380,1522384,2941480,31051368,8
1787574541,58165448704,253403070464,257698037760,0,0,0,0,47186653184,10280529920,296697856,1055047680,8932880384,65744216,0,0,7842,0.00,0.00,19519,70,19602,0,26584724,1384,1328,1522364,2942408,31052208,8
1787574544,58164199424,253403070464,257698037760,0,0,0,0,47185911808,10280529920,296697856,1055047680,8932880384,65741128,0,0,7842,0.00,0.00,19519,100,19602,99,26584792,1392,1328,1522336,2941204,31051052,8
1787574546,58167128064,253403070464,257698037760,0,0,0,0,47185596416,10280529920,296697856,1055047680,8932880384,65739592,0,0,7842,0.00,0.00,19519,0,19602,26,26584736,1340,1364,1522356,2941148,31050944,8
1787574548,58168389632,253403070464,257698037760,0,0,0,0,47187148800,10280529920,296697856,1055047680,8932880384,65750872,0,0,7842,0.00,0.00,19519,73,19602,25,26584816,1344,1380,1522356,2941216,31051112,8
1787574550,58166259712,253403070464,257698037760,0,0,0,0,47187705856,10280529920,296697856,1055047680,8932880384,65746872,0,0,7842,0.00,0.00,19519,74,19602,0,26584752,1360,1392,1522396,2941216,31051116,8
1787574553,58169135104,253403070464,257698037760,0,0,0,0,47187288064,10280529920,296697856,1055047680,8932880384,65739360,0,0,7842,0.00,0.00,19519,0,19602,52,26584788,1376,1416,1522336,2941216,31051132,8
1787574555,58171957248,253403070464,257698037760,0,0,0,0,47188316160,10280529920,296697856,1055051776,8932880384,65747160,0,0,7842,0.00,0.00,19519,61,19602,54,26584720,1420,1348,1522336,2942164,31051988,8
1787574557,58169520128,253403070464,257698037760,0,0,0,0,47189987328,10280529920,296697856,1055051776,8932880384,65742424,0,0,7842,0.00,0.00,19519,100,19602,50,26584728,1388,1368,1522316,2942180,31051980,8
1787574560,58185011200,253403070464,257698037760,0,0,0,0,47189553152,10280529920,296697856,1055051776,8932880384,65752400,0,0,7842,0.00,0.00,19519,7,19602,62,26584728,1348,1380,1522328,2941656,31051440,8
1787574562,58171105280,253403070464,257698037760,0,0,0,0,47189671936,10280529920,296697856,1055051776,8932880384,65741760,0,0,7842,0.00,0.00,19519,74,19602,100,26584756,1388,1356,1522380,2941468,31051348,8
1787574564,58170871808,253403070464,257698037760,0,0,0,0,47189557248,10280534016,296697856,1055055872,8932880384,65733296,0,0,7842,0.00,0.00,19519,100,19602,65,26584740,1420,1388,1522328,2941968,31051844,8
1787574566,57787932672,253403070464,257698037760,0,0,0,0,46806511616,10280534016,296697856,1055055872,8932880384,65738864,0,0,7842,0.00,0.00,16283,100,19602,0,26208960,1376,1348,1522308,2941696,30675688,8
1787574569,57786322944,253403070464,257698037760,0,0,0,0,46806515712,10280558592,296697856,1055064064,8932880384,65735888,0,0,7842,0.00,0.00,16283,100,19602,0,26208916,1376,1428,1522420,2941924,30676064,8
1787574571,57786359808,253403070464,257698037760,0,0,0,0,46807478272,10280562688,296697856,1055084544,8932880384,65731664,0,0,7842,0.00,0.00,16283,100,19602,62,26208916,1344,1416,1522396,2942952,30677024,8
1787574573,57196384256,253403070464,257698037760,0,0,0,0,46217285632,10280906752,296701952,1055178752,8932880384,65735592,0,0,7842,0.00,0.00,16309,100,16368,14,25629524,1428,1452,1522340,2942852,30097596,8
1787574575,56242012160,253403070464,257698037760,0,0,0,0,45265076224,10280992768,296697856,1055305728,8932880384,65747072,0,0,7842,0.00,0.00,15635,0,15718,0,24699576,1380,1392,1522396,2942652,29167396,8
1787574578,56242855936,253403070464,257698037760,0,0,0,0,45264855040,10281033728,296697856,1055338496,8932880384,65732472,0,0,7842,0.00,0.00,15635,0,15718,0,24699608,1380,1352,1522388,2942272,29167000,8
