policy,task,outcome,metric,axis,bin_index,x_left,x_right,x_center,n_at_risk,mean,sd,episodes_total,main_L
fastwam,move_stapler_pad,failure,S,normalized_progress,13,0.65,0.7,0.675,5,1.40525931314574,2.0553954054345818,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,14,0.7,0.75,0.725,5,0.9645416528094544,0.9526471459758201,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,15,0.75,0.8,0.775,5,0.6026062492793709,0.7182194589207063,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,16,0.8,0.85,0.825,5,0.7152021310670553,0.8902979528954075,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,17,0.85,0.9,0.875,5,0.6673178106656226,0.9138167157140126,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,18,0.9,0.95,0.925,5,1.0675036476651836,1.2999551760968104,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,19,0.95,1.0,0.975,5,2.8559356526669797,2.5720381505490417,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,0,0.0,24.0,12.0,5,-0.2459768821934996,0.31270396318514604,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,1,24.0,48.0,36.0,5,-0.6963842274074971,0.20349659347143723,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,2,48.0,72.0,60.0,5,-0.3844323061910172,0.26808688534567254,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,3,72.0,96.0,84.0,5,0.00440286698488917,0.22994565320437213,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,4,96.0,120.0,108.0,5,0.6527688426417665,0.1796897882058593,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,5,120.0,144.0,132.0,5,0.10891287122910527,0.11294263267156121,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,6,144.0,168.0,156.0,5,0.49404948823943284,1.2302449668165962,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,7,168.0,192.0,180.0,5,1.742501539144437,2.1812966561476372,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,8,192.0,216.0,204.0,5,1.29571431696596,2.438011361128456,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,9,216.0,240.0,228.0,5,1.3573695600571445,1.5506561444087703,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,10,240.0,264.0,252.0,5,0.49824968575821504,0.6094942782083523,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,11,264.0,288.0,276.0,5,1.6320117199926218,2.5529040833669185,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,12,288.0,312.0,300.0,5,0.5195616080206759,0.8874300928823541,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,13,312.0,336.0,324.0,5,0.7271732111674134,0.8963592490750291,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,14,336.0,360.0,348.0,5,0.6673178106656226,0.9138167157140126,5,5
fastwam,move_stapler_pad,failure,S,absolute_slot,15,360.0,384.0,372.0,5,1.0675036476651834,1.2999551760968104,5,5
