selection,success,query_idx,action_slot_start,trajectory_id,reward_sum,done,log10_v_l3_c10_mean,log10_v_l3_h10_49_mean,v_l3_c10_peak_h,w_s0p5_min,w_s0p5_max,w_s2p0_min,w_s2p0_max,executed_reference_mse
failure_low,0,18,180,56259,0.0,0,-2.3102774620056152,-2.0745668411254883,0,0.7388392686843872,1.4328078031539917,0.0,2.7190921306610107,0.006964103784412146
failure_low,0,19,190,56260,0.0,1,-2.3223228454589844,-2.2011313438415527,5,0.6491206884384155,1.7012001276016235,0.0,3.490023612976074,0.006550731137394905
failure_middle,0,0,0,55276,0.0,0,-1.6035704612731934,-1.6874737739562988,9,0.21405616402626038,1.337822675704956,0.0,1.8477646112442017,0.004056304227560759
failure_middle,0,1,10,55277,0.0,0,-1.9286181926727295,-2.023599624633789,9,0.4210730195045471,1.483817219734192,0.0,2.5128509998321533,0.021568942815065384
failure_middle,0,2,20,55278,0.0,0,-2.07658052444458,-1.9582345485687256,4,0.762848973274231,1.3747239112854004,0.05139631778001785,2.498896360397339,0.01912197470664978
failure_middle,0,3,30,55279,0.0,0,-1.9222314357757568,-1.7215960025787354,6,0.4388340711593628,1.3869222402572632,0.0,2.1730639934539795,0.014584866352379322
failure_middle,0,4,40,55280,0.0,0,-1.6757876873016357,-1.5885213613510132,5,0.4844244122505188,1.3217244148254395,0.0,1.8839447498321533,0.01398974284529686
failure_middle,0,5,50,55281,0.0,0,-2.064495801925659,-1.7563663721084595,9,0.7313243746757507,1.3369802236557007,0.0,2.3305110931396484,0.012258832342922688
failure_middle,0,6,60,55282,0.0,0,-2.060129404067993,-1.6826814413070679,9,0.6162612438201904,1.7854893207550049,0.0,3.8030788898468018,0.016245732083916664
failure_middle,0,7,70,55283,0.0,0,-1.977711796760559,-1.6925439834594727,3,0.509038507938385,1.402153730392456,0.0,2.3229775428771973,0.01508245151489973
failure_middle,0,8,80,55284,0.0,0,-2.2638919353485107,-1.8013924360275269,0,0.7252024412155151,1.5105693340301514,0.0,3.012397527694702,0.012139842845499516
failure_middle,0,9,90,55285,0.0,0,-2.180637836456299,-1.9467140436172485,8,0.6514739990234375,1.3356046676635742,0.0,2.251250982284546,0.008725502528250217
failure_middle,0,10,100,55286,0.0,0,-2.115415573120117,-1.9573311805725098,9,0.5297408103942871,1.5499966144561768,0.0,2.9408841133117676,0.020179281011223793
failure_middle,0,11,110,55287,0.0,0,-2.160269021987915,-1.9116753339767456,9,0.6267543435096741,1.3643968105316162,0.0,2.3012123107910156,0.040946900844573975
failure_middle,0,12,120,55288,0.0,0,-2.126817464828491,-1.985877513885498,3,0.4541037678718567,1.519547700881958,0.0,2.607550621032715,0.00630369083955884
failure_middle,0,13,130,55289,0.0,0,-2.0707974433898926,-1.9117789268493652,8,0.524496853351593,1.4932469129562378,0.0,2.72700834274292,0.015683166682720184
failure_middle,0,14,140,55290,0.0,0,-2.1207387447357178,-1.7959123849868774,7,0.5694071650505066,1.6779574155807495,0.0,3.402228593826294,0.007925433106720448
failure_middle,0,15,150,55291,0.0,0,-2.423278331756592,-2.103008508682251,3,0.6449834704399109,1.4456450939178467,0.0,2.670405864715576,0.005289884749799967
failure_middle,0,16,160,55292,0.0,0,-2.472686529159546,-2.106562852859497,4,0.7604625225067139,1.6666927337646484,0.04185009002685547,3.666771173477173,0.00755764776840806
failure_middle,0,17,170,55293,0.0,0,-2.4939470291137695,-2.142366886138916,4,0.7680865526199341,1.3119794130325317,0.07234620302915573,2.247917413711548,0.008822939358651638
failure_middle,0,18,180,55294,0.0,0,-2.29314923286438,-2.105266809463501,1,0.5889474153518677,1.395301342010498,0.0,2.348374605178833,0.007249448914080858
failure_middle,0,19,190,55295,0.0,1,-2.2934117317199707,-2.1270086765289307,0,0.40676426887512207,1.350308895111084,0.0,1.9507133960723877,0.006357473786920309
failure_high,0,0,0,56347,0.0,0,-1.9345709085464478,-1.8079665899276733,9,0.45658349990844727,1.4104927778244019,0.0,2.1591970920562744,0.003503496991470456
failure_high,0,1,10,56348,0.0,0,-2.1679811477661133,-2.0019116401672363,2,0.556642472743988,1.5022109746932983,0.0,2.6714279651641846,0.04760302975773811
failure_high,0,2,20,56349,0.0,0,-2.181861400604248,-1.8228684663772583,0,0.5289772748947144,1.6097025871276855,0.0,3.1594831943511963,0.028233502060174942
failure_high,0,3,30,56350,0.0,0,-2.0536041259765625,-1.9203163385391235,6,0.8003451824188232,1.2844995260238647,0.20138084888458252,2.137998104095459,0.007818792946636677
failure_high,0,4,40,56351,0.0,0,-2.0863327980041504,-1.0442945957183838,9,0.6804488897323608,1.3342360258102417,0.0,2.2736892700195312,0.0138242207467556
failure_high,0,5,50,56352,0.0,0,-1.3279811143875122,-1.1026028394699097,8,0.21263772249221802,1.4298357963562012,0.0,1.7963321208953857,0.029802976176142693
failure_high,0,6,60,56353,0.0,0,-1.6311677694320679,-1.651388168334961,5,0.18157613277435303,1.2083724737167358,0.0,1.4111762046813965,0.05812321975827217
