round,env/success_once,eval/success_once,time/step,time/generate_rollouts,time/actor_training,time/sync_weights,time/eval
25,0.48046875,0.5,1616.87109375,1277.05029296875,25.15147590637207,5.925513744354248,308.72625732421875
26,0.5703125,,1379.9822998046875,1352.5638427734375,25.49842071533203,1.9034745693206787,
27,0.6171875,,1284.8214111328125,1253.489013671875,25.231876373291016,6.084568977355957,
28,0.48046875,,1354.185546875,1322.8946533203125,24.33454132080078,6.941483497619629,
29,0.59765625,,1403.7977294921875,1372.82958984375,25.194398880004883,5.759871482849121,
30,0.51953125,0.4375,1686.739990234375,1333.115966796875,25.433120727539062,7.46591854095459,290.94158935546875
31,0.62890625,,1300.466064453125,1273.7244873046875,25.08358383178711,1.6434075832366943,
32,0.6015625,,1345.47119140625,1316.9613037109375,22.57359504699707,5.921351909637451,
33,0.5546875,,1364.04541015625,1333.4139404296875,25.3621826171875,5.254069805145264,
34,0.52734375,,1389.8731689453125,1357.5107421875,25.603485107421875,6.744786262512207,
35,0.5625,0.59375,1677.4957275390625,1345.3798828125,25.173612594604492,6.151988506317139,300.7757263183594
36,0.56640625,,1346.5067138671875,1319.204833984375,25.311922073364258,1.973686695098877,
37,0.60546875,,1323.3704833984375,1290.9691162109375,25.465911865234375,6.920623302459717,
38,0.53125,,1330.6087646484375,1299.0391845703125,25.60283660888672,5.950248718261719,
39,0.484375,,1360.5633544921875,1329.977783203125,25.413175582885742,5.157196998596191,
40,0.47265625,0.46875,1643.386474609375,1293.40771484375,25.56891632080078,6.592682838439941,288.8975524902344
41,0.58984375,,1307.1982421875,1279.9971923828125,25.477642059326172,1.7095813751220703,
42,0.52734375,,1299.87841796875,1266.598876953125,25.630266189575195,7.634040355682373,
43,0.515625,,1410.61181640625,1377.9552001953125,25.596147537231445,7.042924880981445,
44,0.55859375,,1504.3924560546875,1470.74755859375,25.67251205444336,7.956262588500977,
45,0.5703125,0.4375,1707.7100830078125,1339.5406494140625,25.665456771850586,6.992792129516602,335.4945373535156
46,0.6015625,,1402.4764404296875,1374.8223876953125,25.68259048461914,1.953763484954834,
47,0.58203125,,1435.9520263671875,1403.158203125,25.434165954589844,7.343008518218994,
48,0.58984375,,1463.330322265625,1430.34912109375,25.523473739624023,7.441587924957275,
49,0.5546875,,1344.5289306640625,1310.966796875,25.65070343017578,7.892339706420898,
50,0.6328125,0.5,1819.6007080078125,1429.6607666015625,25.41170883178711,6.620301246643066,326.4238586425781
51,0.59375,,1427.648681640625,1403.1043701171875,22.935190200805664,1.5947239398956299,
52,0.59765625,,1312.4312744140625,1283.62646484375,22.57783317565918,6.214438438415527,
53,0.56640625,,1417.3865966796875,1387.6064453125,24.651390075683594,5.112595558166504,
54,0.5703125,,1451.9742431640625,1420.914306640625,24.886110305786133,6.154941082000732,
55,0.66796875,0.59375,1828.1337890625,1455.5540771484375,25.96037483215332,6.4154052734375,340.18634033203125
56,0.64453125,,1367.5699462890625,1342.9151611328125,22.493328094482422,2.146973133087158,
57,0.59375,,1392.99072265625,1364.044921875,23.98748779296875,4.946718215942383,
58,0.6171875,,1333.39404296875,1300.28125,25.753326416015625,7.341149806976318,
